City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,74.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
1,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Emerald,AU,74.98,clear sky,-23.5333,148.1667,The Irish Village
6,Biak,ID,79.59,broken clouds,-0.9131,122.8766,Penginapan Kim
8,Joshimath,IN,59.4,clear sky,30.5667,79.5667,Shivalik Camps & Resort
9,Atuona,PF,77.85,light rain,-9.8,-139.0333,Villa Enata
10,Mataura,NZ,56.84,overcast clouds,-46.1927,168.8643,Ellie's Villa
13,Bluff,NZ,54.34,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
14,Bengkulu,ID,74.82,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
16,Kuruman,ZA,61.0,overcast clouds,-27.4524,23.4325,Cornerstone Guest House
19,Airai,TL,68.5,scattered clouds,-8.9266,125.4092,Juvinal Martin
20,Lebu,CL,50.43,clear sky,-37.6167,-73.65,Hostal Las Lilas
23,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Camana,PE,62.58,scattered clouds,-16.6228,-72.7111,Hostal Morales
25,Poum,NC,76.32,broken clouds,-20.2333,164.0167,Gîte kajeon
26,Psikhikon,GR,59.74,moderate rain,41.0,23.6333,Asprovalta Portofino
27,Albany,US,70.27,broken clouds,42.6001,-73.9662,
28,Port Alfred,ZA,62.35,overcast clouds,-33.5906,26.891,The Halyards Hotel
33,Mar Del Plata,AR,54.12,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
36,Sao Filipe,CV,78.24,scattered clouds,14.8961,-24.4956,Hotel Xaguate
39,Hobart,AU,53.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
40,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
42,Price,US,53.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
45,Kismayo,SO,77.81,broken clouds,-0.3582,42.5454,Agan-Hotel
47,Pueblo,US,64.0,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
48,Waipawa,NZ,54.3,clear sky,-41.4122,175.5153,Tora Coastal Walk
53,Busselton,AU,61.05,scattered clouds,-33.65,115.3333,Observatory Guest House
54,Rikitea,PF,74.95,scattered clouds,-23.1203,-134.9692,People ThankYou
55,Axim,GH,78.49,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
56,New Norfolk,AU,52.66,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
57,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
61,Balkanabat,TM,65.7,clear sky,39.5108,54.3671,Nebitchi Hotel
62,Cape Town,ZA,57.11,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
64,Gore,NZ,56.1,overcast clouds,-46.1028,168.9436,Esplanade Motels
65,Tianpeng,CN,60.64,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
67,Ancud,CL,52.43,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
68,Mitsamiouli,KM,76.42,clear sky,-11.3847,43.2844,Foyer ADM
69,Concordia,AR,62.78,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
74,Lasa,IT,50.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
75,Horsham,GB,55.49,broken clouds,51.064,-0.3272,Springfields Hotel
76,Avarua,CK,78.85,clear sky,-21.2078,-159.775,Paradise Inn
77,Ribeira Grande,PT,69.66,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
78,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,San Quintin,MX,74.93,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
82,East London,ZA,64.33,overcast clouds,-33.0153,27.9116,Tu Casa
84,Rio Grande,BR,57.31,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
85,Castro,BR,61.47,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
86,Flinders,AU,62.2,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
88,Codrington,AU,52.95,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
89,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,Punto de encuentro
93,Pokhara,NP,69.33,clear sky,28.2333,83.9833,Butterfly Lodge
94,Labuhan,ID,79.57,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
100,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
102,Panguna,PG,75.97,moderate rain,-6.3164,155.4848,
104,Vigrestad,NO,50.59,broken clouds,58.5667,5.7,Brusand Camping
105,Kaitangata,NZ,56.82,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
107,Lixourion,GR,63.09,overcast clouds,38.2019,20.4314,Hotel Summery
108,Orta Nova,IT,61.23,overcast clouds,41.3299,15.7107,Hotel Novelli
110,Sterling,US,77.85,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
113,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
116,Lagoa,PT,68.45,scattered clouds,39.05,-27.9833,Casa Das Faias
117,Hermanus,ZA,53.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
119,Port Lincoln,AU,56.66,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
120,Bereda,ES,55.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
121,Bredasdorp,ZA,53.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
124,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
131,Bethel,US,72.43,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
132,Menongue,AO,65.93,scattered clouds,-14.6585,17.691,Ritz Lauca
133,Gizo,SB,77.9,moderate rain,-8.103,156.8419,Imagination Island
134,Shelburne,CA,61.23,light rain,44.0787,-80.2041,The Retreat at the Farm
135,Maldonado,UY,52.99,scattered clouds,-34.6667,-54.9167,La Cimarrona
138,Ararat,AM,50.34,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
139,Broome,US,72.18,overcast clouds,42.2506,-75.833,Chenango Valley State Park
140,Akyab,MM,79.03,overcast clouds,20.15,92.9,Hotel Memory
143,Sao Jose Da Coroa Grande,BR,77.45,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
146,Esperance,AU,55.24,light rain,-33.8667,121.9,Hospitality Esperance
